fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,0,0,1,64,2,1024,132218.0
1,1,0,1,0,128,2,256,135754.4
0,0,0,0,1,256,2,4096,47094.8
0,0,0,0,1,256,32,256,46294.8
1,0,0,1,1,256,2,4096,134019.0
0,1,1,0,1,64,32,4096,46412.4
0,0,0,0,1,256,8,256,46100.4
0,0,0,0,1,256,8,1024,46303.0
0,1,1,1,1,256,32,1024,46796.2
0,1,1,0,0,128,8,256,46214.6
0,0,0,1,0,64,2,256,46461.6
0,0,0,1,0,128,2,4096,47528.8
0,0,0,0,0,64,8,256,46297.6
0,0,0,0,1,128,8,4096,46212.2
0,1,0,0,1,128,8,256,46673.2
0,0,1,0,0,256,8,4096,46383.4
0,0,1,0,0,128,32,1024,46138.8
0,0,1,0,1,64,8,1024,47386.4
0,0,0,0,0,128,32,4096,46476.2
0,1,0,0,0,256,32,256,46178.0
0,0,0,1,0,64,8,256,46269.0
0,0,1,1,0,256,32,256,46622.6
0,0,0,0,0,128,32,256,46255.0
0,1,0,0,0,64,32,4096,46336.2
0,1,0,0,0,256,8,256,46335.6
0,0,0,0,0,256,32,256,46275.0
1,0,1,0,0,256,8,1024,138245.2
0,1,0,0,0,64,32,256,46122.2
0,0,1,0,0,64,32,256,46180.0
0,0,1,0,1,64,8,1024,46180.0
0,0,0,0,0,64,32,256,46471.2
0,0,1,0,1,128,32,256,46260.2
0,1,0,1,1,128,8,256,47454.8
0,0,1,0,0,256,32,256,46243.2
1,1,1,0,0,64,8,1024,133447.6
0,0,0,1,0,128,2,1024,46355.2
0,1,1,0,0,256,32,1024,46047.4
0,1,0,0,0,256,32,1024,46094.8
0,0,1,0,0,256,32,1024,46212.8
0,1,1,0,0,128,32,1024,46311.2
0,1,0,0,0,64,32,1024,46224.0
0,0,0,0,0,64,32,1024,46298.4
0,1,0,0,0,256,2,1024,46248.8
0,0,0,0,0,256,32,1024,46256.6
0,1,1,0,0,256,8,1024,47095.6
0,0,1,0,0,64,2,256,46097.4
0,0,0,0,0,64,2,256,46272.2
0,1,1,1,0,256,8,4096,47064.8
1,1,1,1,1,64,8,1024,131358.0
0,1,0,1,0,64,2,1024,46447.6
0,0,1,0,0,256,32,4096,46148.2
1,0,0,1,0,64,8,4096,134655.4
0,1,0,0,1,256,8,256,46192.0
0,1,1,1,1,128,32,4096,46787.2
0,1,1,0,0,64,32,256,46144.0
0,1,0,0,0,64,2,1024,46111.6
0,0,1,0,0,64,32,256,46111.6
0,1,0,0,1,128,2,256,47040.2
0,1,1,1,1,256,32,256,46982.0
0,1,0,0,1,128,2,1024,46099.4
0,0,1,0,1,64,2,1024,46185.2
0,1,1,1,0,256,32,1024,46477.8
0,0,1,0,0,64,2,1024,46199.0
0,1,1,1,0,128,2,4096,47187.0
0,1,1,1,1,64,8,256,46723.2
0,0,1,0,0,256,2,1024,46432.2
0,0,0,0,1,64,2,1024,46267.8
1,0,1,0,1,256,8,1024,134254.2
0,0,1,1,0,128,8,1024,47024.0
0,0,0,0,1,256,32,1024,46176.6
0,0,1,0,0,64,8,256,46528.8
1,1,0,0,1,128,8,256,137657.6
1,0,1,1,1,256,8,1024,134859.0
0,0,0,0,1,64,32,256,46295.4
0,0,0,0,0,64,2,1024,47571.0
0,0,1,0,1,64,8,4096,46345.6
1,1,1,0,1,128,32,1024,135219.0
0,0,1,1,1,256,8,256,46788.6
0,1,1,1,0,256,2,256,46517.2
1,1,0,0,1,64,2,4096,136458.4
0,1,0,0,1,64,8,1024,46054.6
0,1,0,0,1,64,32,1024,46172.8
0,1,1,0,1,64,2,256,46194.4
1,0,0,1,0,64,32,256,130240.8
0,1,0,0,0,64,8,256,46403.8
0,0,1,0,1,64,32,256,46132.4
0,1,0,0,1,64,8,4096,46203.2
0,1,1,1,1,64,32,4096,46849.4
0,0,0,0,0,64,32,4096,46314.4
0,1,1,0,0,64,32,4096,46715.4
0,1,0,0,1,64,32,256,46155.2
0,1,0,0,1,64,32,1024,46155.2
1,0,0,0,1,256,32,256,135823.2
0,1,0,0,1,64,2,256,46143.2
0,1,0,0,0,64,2,256,46500.4
1,0,1,1,0,128,8,4096,136843.8
0,1,0,0,1,256,2,256,46288.6
1,0,0,1,1,64,2,256,131695.0
0,0,1,0,1,256,2,1024,46177.2
0,1,1,1,1,64,2,4096,46733.4
0,0,1,0,1,256,8,256,46064.6
0,0,0,0,0,256,8,256,46305.6
1,1,0,0,1,256,2,256,135922.0
0,1,0,0,1,256,8,256,135922.0
0,0,1,1,0,128,2,4096,46450.2
0,0,1,1,0,64,32,1024,46819.6
0,0,1,1,0,128,32,1024,46495.6
1,1,1,1,0,64,32,1024,127659.2
0,1,1,0,1,128,32,1024,46436.8
0,0,1,1,1,64,2,256,46643.2
0,0,0,1,0,256,8,1024,46393.4
1,1,1,1,0,128,2,256,128216.6
0,0,1,0,1,128,2,256,46121.0
0,1,1,1,0,128,8,256,46558.0
1,1,0,0,0,128,8,256,125404.4
0,0,0,0,1,256,2,1024,46354.2
1,1,1,0,0,256,8,1024,133985.0
0,1,0,1,1,128,8,1024,47354.4
1,0,0,1,1,128,8,1024,135632.6
1,0,1,1,1,256,32,256,137724.2
1,0,0,0,0,128,2,256,133624.8
1,0,0,0,0,64,32,4096,131737.4
0,0,1,1,1,64,32,4096,46738.6
0,0,1,1,0,128,2,1024,46881.4
1,0,0,0,1,64,8,4096,129471.0
0,0,1,1,0,128,32,4096,46256.6
1,0,0,1,1,64,2,4096,133870.0
0,1,1,0,0,128,2,4096,46235.8
0,0,0,1,1,64,32,1024,46600.2
0,1,0,0,1,256,8,1024,46358.2
1,1,1,1,0,128,2,4096,127278.2
0,1,0,0,1,256,8,256,127278.2
0,0,1,1,1,64,2,1024,46681.8
0,0,1,1,1,128,2,1024,46692.6
1,0,1,1,1,256,2,256,136546.2
0,1,1,0,1,256,32,256,46169.8
1,0,0,1,1,64,8,1024,135458.2
1,1,0,1,1,64,8,4096,128898.0
1,1,0,1,1,64,32,256,135693.6
0,0,0,1,1,256,8,256,46222.8
0,1,1,1,1,256,2,1024,46812.2
1,1,0,1,0,256,32,4096,128968.4
1,1,0,0,1,128,32,1024,133874.4
1,0,0,1,0,128,32,256,134485.2
1,1,0,1,0,64,32,4096,131301.0
0,0,0,1,1,256,32,4096,46507.4
1,0,1,0,1,64,2,256,134987.2
0,1,1,0,0,256,8,256,46092.0
1,0,0,1,1,256,8,256,135852.4
0,0,0,0,0,256,32,4096,46042.4
1,1,0,1,1,128,32,256,130087.4
0,0,0,1,0,256,32,1024,46419.0
1,1,1,0,1,128,2,4096,134358.4
1,0,1,1,0,128,32,256,140915.4
0,1,0,1,1,128,32,4096,46394.0
0,1,1,1,1,256,32,1024,46394.0
0,0,1,0,1,128,8,256,46271.0
0,0,1,1,1,64,2,4096,46572.8
1,0,1,1,1,128,32,1024,142199.6
1,1,0,1,0,128,8,256,131542.8
1,0,1,1,0,256,8,256,139655.8
1,0,0,0,0,64,2,1024,131859.6
1,1,1,0,0,128,8,256,131126.8
0,0,0,1,0,256,8,4096,46597.8
0,0,0,1,1,128,2,256,46335.6
0,0,1,1,0,64,8,256,46557.4
0,0,0,1,0,128,2,1024,46557.4
0,0,1,1,0,256,2,1024,46729.2
0,0,0,0,1,256,32,4096,46070.8
0,0,1,0,0,64,8,1024,46291.6
0,1,1,1,0,64,32,4096,46414.2
0,0,0,1,0,256,8,4096,46414.2
0,1,0,1,0,64,32,4096,46404.0
1,1,1,0,1,64,8,256,132169.4
1,1,1,0,0,64,8,256,130526.8
1,1,1,0,0,128,2,256,136797.8
0,1,1,1,0,64,8,1024,46311.6
0,1,0,0,1,64,32,4096,46295.6
0,1,0,0,0,128,2,1024,46240.8
0,1,0,1,1,128,32,256,46423.2
0,0,0,0,1,256,32,256,46423.2
0,1,1,0,1,128,8,4096,46460.8
1,0,0,1,1,128,2,4096,134644.0
0,1,0,0,0,64,32,4096,134644.0
1,1,0,1,1,64,8,1024,125966.2
1,0,1,1,1,256,8,4096,136683.0
0,1,1,0,1,128,32,256,46129.8
1,0,0,1,1,64,32,4096,134370.8
1,1,1,1,1,128,2,1024,132657.0
1,0,1,0,1,128,2,4096,139647.8
1,1,0,1,1,256,8,1024,122151.8
1,0,1,0,1,64,8,256,138369.4
1,1,0,0,0,256,8,4096,133344.2
0,0,0,0,0,256,2,1024,46194.6
0,0,0,1,1,128,2,256,46194.6
0,0,1,0,0,128,32,1024,46194.6
1,0,1,0,1,256,32,256,137280.0
1,1,0,0,0,64,32,256,132467.8
1,1,0,1,0,64,8,256,133943.0
1,1,0,1,1,128,32,1024,129568.0
