topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,10,1,1,1000,1000,1024,10000,5,29,0.240286895906
4,10,4,1000000,10,0,1000,1000,1024,10000,2,29,0.000381293210394
2,10,4,10,10,0,1,10,1024,10000,5,0,2.0
2,10,2,1000000,10,0,1000,10,1024,100,5,0,2.0
2,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.00134678208957
4,10,4,1000000,10,0,1,1000,512,10000,2,29,2.0
2,10,4,1000000,10,0,1000,1000,1024,10000,2,29,2.0
4,10,2,10,10,0,1,10,1024,100,5,0,0.0801274064027
4,10,2,1000000,1,0,1000,1000,512,10000,5,29,0.0001388996695
4,10,2,1000000,1,0,1000,1000,1024,10000,5,29,3.5405798108e-05
2,1,2,10,1,1,1,1000,1024,10000,2,0,0.0149167350952
4,10,2,1000000,1,0,1000,1000,1024,10000,2,0,0.0036753941959
2,10,4,1000000,10,1,1,1000,512,10000,5,29,2.0
2,10,2,1000000,1,0,1000,1000,512,10000,5,29,0.000175667229074
2,10,4,10,1,1,1000,10,1024,10000,2,0,2.0
4,10,2,1000000,1,0,1000,1000,512,100,5,29,2.0
2,1,2,1000000,1,0,1000,1000,512,10000,5,29,4.49381283678e-05
2,1,2,1000000,10,0,1000,1000,512,10000,5,29,2.0
4,1,2,10,10,0,1000,1000,512,10000,5,0,0.215850086404
4,10,4,1000000,10,1,1000,1000,1024,10000,2,29,2.0
4,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.00324780109567
2,1,4,1000000,1,0,1000,1000,512,10000,5,29,2.0
4,1,4,10,10,0,1000,10,512,10000,5,0,2.0
4,10,2,10,1,0,1000,1000,512,10000,5,29,0.200557505144
4,10,4,1000000,1,0,1000,1000,1024,10000,2,29,2.0
4,10,4,10,10,0,1000,1000,1024,10000,2,29,0.388261343813
4,1,2,10,1,1,1,1000,1024,10000,2,0,0.0149031174805
2,10,2,10,10,0,1,10,1024,100,5,0,0.134529776957
2,1,2,10,1,0,1000,1000,512,10000,5,29,0.297084604878
4,1,2,1000000,1,0,1000,10,1024,10000,2,29,2.0
4,1,2,1000000,10,0,1,10,512,100,2,29,0.00515154362471
2,1,2,1000000,10,0,1,10,512,100,2,29,2.0
4,1,2,10,10,0,1,10,512,100,2,29,0.144850567106
4,1,2,10,1,0,1000,1000,1024,10000,5,0,0.223424203676
4,1,2,1000000,10,0,1,10,512,100,2,0,0.00502217628547
2,1,2,1000000,1,0,1000,1000,512,10000,2,29,0.000202902458388
2,1,2,1000000,1,0,1000,1000,512,10000,5,0,0.000142984953898
2,10,2,1000000,1,0,1000,1000,1024,10000,5,29,5.17469356963e-05
