WindowSize,CompressionLevel,Performance
23,0,1.556
24,1,1.57
22,1,1.586
24,1,1.57
23,1,1.572
22,1,1.586
24,0,1.574
23,0,1.556
22,0,1.596
23,1,1.572
22,0,1.596
24,1,1.57
22,1,1.586
24,0,1.574
23,0,1.556
24,1,1.57
22,1,1.586
23,0,1.556
24,0,1.574
22,0,1.596
23,1,1.572
24,0,1.574
24,1,1.57
23,0,1.556
22,0,1.596
22,1,1.586
23,1,1.572
23,0,1.556
23,1,1.572
24,0,1.574
22,1,1.586
22,0,1.596
24,1,1.57
23,1,1.572
22,1,1.586
23,0,1.556
22,0,1.596
24,0,1.574
24,1,1.57
23,0,1.556
24,1,1.57
22,0,1.596
23,1,1.572
24,0,1.574
22,1,1.586
22,0,1.596
23,1,1.572
22,1,1.586
23,0,1.556
24,0,1.574
24,1,1.57
24,1,1.57
23,1,1.572
22,0,1.596
23,0,1.556
22,1,1.586
24,0,1.574
22,1,1.586
23,0,1.556
23,1,1.572
24,0,1.574
22,0,1.596
24,1,1.57
23,1,1.572
23,0,1.556
24,0,1.574
22,0,1.596
22,1,1.586
24,1,1.57
22,0,1.596
23,1,1.572
24,0,1.574
22,1,1.586
24,1,1.57
23,0,1.556
24,1,1.57
24,0,1.574
22,0,1.596
22,1,1.586
23,0,1.556
23,1,1.572
24,0,1.574
24,1,1.57
23,1,1.572
22,0,1.596
23,0,1.556
22,1,1.586
24,0,1.574
23,1,1.572
22,1,1.586
24,1,1.57
22,0,1.596
23,0,1.556
23,0,1.556
22,0,1.596
23,1,1.572
24,1,1.57
22,1,1.586
24,0,1.574
22,1,1.586
23,0,1.556
23,1,1.572
22,0,1.596
24,1,1.57
24,0,1.574
23,0,1.556
24,0,1.574
24,1,1.57
23,1,1.572
22,1,1.586
22,0,1.596
22,0,1.596
23,1,1.572
23,0,1.556
22,1,1.586
24,1,1.57
24,0,1.574
22,0,1.596
24,0,1.574
22,1,1.586
23,1,1.572
24,1,1.57
23,0,1.556
22,0,1.596
23,1,1.572
24,0,1.574
23,0,1.556
24,1,1.57
22,1,1.586
23,0,1.556
23,1,1.572
24,0,1.574
22,1,1.586
24,1,1.57
22,0,1.596
23,1,1.572
22,1,1.586
22,0,1.596
24,1,1.57
24,0,1.574
23,0,1.556
23,0,1.556
22,0,1.596
24,0,1.574
22,1,1.586
24,1,1.57
23,1,1.572
22,0,1.596
24,1,1.57
22,1,1.586
24,0,1.574
23,1,1.572
23,0,1.556
23,0,1.556
24,1,1.57
22,1,1.586
23,1,1.572
24,0,1.574
22,0,1.596
24,0,1.574
22,0,1.596
22,1,1.586
23,1,1.572
23,0,1.556
24,1,1.57
24,0,1.574
22,1,1.586
23,1,1.572
22,0,1.596
23,0,1.556
24,1,1.57
23,1,1.572
24,0,1.574
24,1,1.57
23,0,1.556
22,1,1.586
22,0,1.596
23,1,1.572
22,1,1.586
23,0,1.556
24,1,1.57
24,0,1.574
22,0,1.596
22,0,1.596
23,0,1.556
22,1,1.586
23,1,1.572
24,1,1.57
24,0,1.574
24,1,1.57
24,0,1.574
22,0,1.596
23,0,1.556
23,1,1.572
22,1,1.586
23,0,1.556
24,0,1.574
24,1,1.57
23,1,1.572
22,0,1.596
22,1,1.586
24,1,1.57
23,0,1.556
24,0,1.574
22,1,1.586
23,1,1.572
22,0,1.596
24,1,1.57
23,0,1.556
23,1,1.572
22,0,1.596
22,1,1.586
24,0,1.574
23,0,1.556
22,1,1.586
24,0,1.574
24,1,1.57
22,0,1.596
23,1,1.572
22,1,1.586
24,1,1.57
23,0,1.556
23,1,1.572
22,0,1.596
24,0,1.574
24,1,1.57
23,0,1.556
23,1,1.572
22,0,1.596
22,1,1.586
24,0,1.574
24,0,1.574
22,0,1.596
23,0,1.556
24,1,1.57
23,1,1.572
22,1,1.586
22,0,1.596
24,0,1.574
22,1,1.586
23,0,1.556
24,1,1.57
23,1,1.572
23,1,1.572
22,0,1.596
24,0,1.574
22,1,1.586
24,1,1.57
23,0,1.556
23,1,1.572
24,0,1.574
23,0,1.556
22,0,1.596
22,1,1.586
24,1,1.57
22,1,1.586
22,0,1.596
23,0,1.556
24,0,1.574
23,1,1.572
24,1,1.57
22,0,1.596
23,1,1.572
22,1,1.586
23,0,1.556
24,1,1.57
24,0,1.574
23,0,1.556
22,0,1.596
22,1,1.586
23,1,1.572
24,1,1.57
24,0,1.574
24,1,1.57
24,0,1.574
23,0,1.556
23,1,1.572
22,0,1.596
22,1,1.586
23,1,1.572
24,1,1.57
23,0,1.556
22,1,1.586
24,0,1.574
22,0,1.596
24,0,1.574
23,0,1.556
22,1,1.586
22,0,1.596
24,1,1.57
23,1,1.572
24,0,1.574
23,0,1.556
22,0,1.596
23,1,1.572
24,1,1.57
22,1,1.586
22,0,1.596
24,1,1.57
23,0,1.556
24,0,1.574
23,1,1.572
22,1,1.586
22,0,1.596
24,0,1.574
24,1,1.57
23,1,1.572
22,1,1.586
23,0,1.556
23,0,1.556
22,1,1.586
22,0,1.596
23,1,1.572
24,0,1.574
24,1,1.57
23,1,1.572
24,1,1.57
22,0,1.596
22,1,1.586
24,0,1.574
23,0,1.556
24,0,1.574
23,0,1.556
22,1,1.586
23,1,1.572
22,0,1.596
24,1,1.57
24,0,1.574
24,1,1.57
22,1,1.586
23,0,1.556
22,0,1.596
23,1,1.572
22,1,1.586
23,1,1.572
23,0,1.556
24,1,1.57
22,0,1.596
24,0,1.574
22,0,1.596
24,1,1.57
23,0,1.556
22,1,1.586
23,1,1.572
24,0,1.574
24,0,1.574
22,1,1.586
24,1,1.57
22,0,1.596
23,1,1.572
23,0,1.556
24,1,1.57
22,1,1.586
24,0,1.574
23,0,1.556
22,0,1.596
23,1,1.572
23,1,1.572
22,1,1.586
24,1,1.57
23,0,1.556
22,0,1.596
24,0,1.574
22,0,1.596
24,0,1.574
24,1,1.57
22,1,1.586
23,1,1.572
23,0,1.556
22,1,1.586
23,0,1.556
24,0,1.574
23,1,1.572
22,0,1.596
24,1,1.57
23,1,1.572
24,0,1.574
23,0,1.556
22,1,1.586
22,0,1.596
24,1,1.57
24,1,1.57
23,0,1.556
23,1,1.572
22,1,1.586
22,0,1.596
24,0,1.574
23,0,1.556
22,1,1.586
24,1,1.57
24,0,1.574
23,1,1.572
22,0,1.596
23,1,1.572
22,1,1.586
24,0,1.574
22,0,1.596
24,1,1.57
23,0,1.556
23,1,1.572
24,0,1.574
22,0,1.596
22,1,1.586
23,0,1.556
24,1,1.57
22,1,1.586
23,1,1.572
24,1,1.57
22,0,1.596
24,0,1.574
23,0,1.556
23,1,1.572
23,0,1.556
22,1,1.586
24,1,1.57
24,0,1.574
22,0,1.596
22,1,1.586
24,1,1.57
23,1,1.572
23,0,1.556
22,0,1.596
24,0,1.574
24,0,1.574
23,1,1.572
23,0,1.556
22,1,1.586
24,1,1.57
22,0,1.596
22,0,1.596
22,1,1.586
23,1,1.572
24,1,1.57
24,0,1.574
23,0,1.556
24,0,1.574
22,0,1.596
24,1,1.57
22,1,1.586
23,0,1.556
23,1,1.572
23,1,1.572
23,0,1.556
24,1,1.57
22,0,1.596
24,0,1.574
22,1,1.586
22,0,1.596
24,0,1.574
23,0,1.556
24,1,1.57
22,1,1.586
23,1,1.572
22,0,1.596
23,0,1.556
24,1,1.57
22,1,1.586
23,1,1.572
24,0,1.574
22,0,1.596
23,0,1.556
24,1,1.57
23,1,1.572
24,0,1.574
22,1,1.586
22,1,1.586
24,1,1.57
24,0,1.574
23,0,1.556
22,0,1.596
23,1,1.572
24,0,1.574
22,0,1.596
24,1,1.57
23,1,1.572
22,1,1.586
23,0,1.556
22,1,1.586
24,0,1.574
23,1,1.572
22,0,1.596
24,1,1.57
23,0,1.556
24,1,1.57
24,0,1.574
23,0,1.556
23,1,1.572
22,0,1.596
22,1,1.586
24,1,1.57
22,0,1.596
24,0,1.574
23,1,1.572
23,0,1.556
22,1,1.586
24,0,1.574
23,0,1.556
22,1,1.586
22,0,1.596
23,1,1.572
24,1,1.57
23,0,1.556
22,1,1.586
23,1,1.572
22,0,1.596
24,1,1.57
24,0,1.574
24,1,1.57
23,0,1.556
23,1,1.572
22,1,1.586
22,0,1.596
24,0,1.574
24,1,1.57
23,1,1.572
23,0,1.556
22,0,1.596
24,0,1.574
22,1,1.586
22,0,1.596
23,0,1.556
24,1,1.57
22,1,1.586
24,0,1.574
23,1,1.572
22,1,1.586
22,0,1.596
23,0,1.556
24,0,1.574
23,1,1.572
24,1,1.57
23,1,1.572
23,0,1.556
24,1,1.57
24,0,1.574
22,0,1.596
22,1,1.586
22,1,1.586
23,0,1.556
22,0,1.596
24,0,1.574
24,1,1.57
23,1,1.572
24,0,1.574
22,0,1.596
23,0,1.556
23,1,1.572
24,1,1.57
22,1,1.586
23,0,1.556
24,0,1.574
22,0,1.596
24,1,1.57
23,1,1.572
22,1,1.586
24,1,1.57
23,1,1.572
23,0,1.556
22,0,1.596
24,0,1.574
22,1,1.586
22,1,1.586
23,0,1.556
22,0,1.596
23,1,1.572
24,0,1.574
24,1,1.57
23,1,1.572
24,1,1.57
24,0,1.574
22,0,1.596
22,1,1.586
23,0,1.556
22,1,1.586
22,0,1.596
24,0,1.574
23,0,1.556
24,1,1.57
23,1,1.572
24,0,1.574
24,1,1.57
22,1,1.586
23,1,1.572
23,0,1.556
22,0,1.596
22,0,1.596
22,1,1.586
23,1,1.572
24,0,1.574
24,1,1.57
23,0,1.556
24,0,1.574
24,1,1.57
22,1,1.586
23,1,1.572
23,0,1.556
22,0,1.596
23,1,1.572
22,1,1.586
24,1,1.57
22,0,1.596
23,0,1.556
24,0,1.574
